,category,discounted_price,actual_price,discount_percentage,rating,rating_count,review_title
316,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,299.0,799.0,63.0,4.0,151.0,"Extended length for securiry camera,Dont judge a book by it's cover,Good sturdy product with neat finish.,cable quality is good and near 10 ft in length,Good enough to length,Good Product,PERFECT!,Super"
317,"Electronics|HomeTheater,TV&Video|Accessories|RemoteControls",247.0,399.0,38.0,3.9,200.0,"Fits the remote correctly,Fits well but bit costly,Protected remote properly,Good Quality but Slightly Pricey!!,The case is good and it is apt for the Jio TV remote. I recommend this product.,Perfect fit,Fits Jio Remote,Superb"
318,"Electronics|HomeTheater,TV&Video|Accessories|RemoteControls",1369.0,2999.0,54.0,3.3,227.0,"Good, But Disappointed,Perfect replacement,Have to press buttons harder,Very expensive,Not working properly after one month,Product quality,Not satisfactory,Good"
319,"Electronics|HomeTheater,TV&Video|Accessories|RemoteControls",199.0,499.0,60.0,3.8,538.0,"Nice,Good,Good protective cover fo Airtel Xtreme settop box remote,Very nice cover.,Expensive,Very uncomfortable to use,Value for money....height of the cover can be made small.,Good product"
320,"Electronics|HomeTheater,TV&Video|Accessories|Cables|HDMICables",299.0,599.0,50.0,4.0,171.0,"Nice product 👍👍,Cheap plus durable. Worth the money.,Good purchase,Aine HDMI Male to VGA Female Video Converter Adapter Cable (Black),It's easy to connect,Sturdy, affordable, no lag converyer cable,Works well but the output quality is not as good as direct VGA connection.,Works well. Does its work as required."
321,"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions",14999.0,14999.0,0.0,4.3,27508.0,"Nice tv,Good product,Average,No operation button in television which is big irritate when the remote not working,Facing Sound/Audio Problem after 12 days of installation only - Please don't buy it,The after service is very good!,Good,........"
322,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,299.0,699.0,57.0,3.9,1454.0,"Good product, but not excellent I should say.,Very poor quality,OK,Good,Very good product. Satisfied with the performance.,will get job done,Good,Value for money ✌️"
323,"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions",24990.0,51990.0,52.0,4.2,2951.0,"Best one,Nice product,Nice Purchase,A nice TV,Good quality...i have a trust on TCL,Best survice,Good,value for money"
325,"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions",61999.0,69999.0,11.0,4.1,6753.0,"Almost Perfect!,Review After using 1month,Nice tv,Panel and video quality,Good Product,Worth for money,Nice,Good"
326,"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions",24499.0,50000.0,51.0,3.9,3518.0,"(after nearly one year use) Value for money TV, except for the sound,Spectacular Specification, Build Quality, and Performance"
327,"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions",10499.0,19499.0,46.0,4.2,1510.0,"Kodak tv,Kodak tv,Kodak tv,Very less features to control or configure picture, sound or other key features through remote.,Excellent,Kodak 32inh,Kodak tv,Good"
328,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,349.0,999.0,65.0,4.3,838.0,"Used for 10 months,Quality is good,Good Aftersale Service,Super fast charging suppurt,Superb Quality and value for money,Good small cable,Nice,Highly recommended"
329,"Electronics|HomeTheater,TV&Video|Accessories|RemoteControls",197.0,499.0,61.0,3.8,136.0,"Working fine but cheap quality,Original but small,ನೀವು ಕಳುಹಿಸಿದ ವಸ್ತು ಸರಿಯಾಗಿ ಕೆಲಸ ಮಾಡುತ್ತಿಲ,Sturdy,Good,Works perfectly with Airtel HD set up box,Item is value for money.,,On Off button doesn’t work."
330,"Electronics|HomeTheater,TV&Video|SatelliteEquipment|SatelliteReceivers",1299.0,2499.0,48.0,4.3,301.0,"Good ptoduct,Overall good product,, and good choice,, ☺️,Cable is short,Good,All channel  view nice,Very fast and good service,Ok,The product was 🙌"
331,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,1519.0,1899.0,20.0,4.4,19763.0,"Go for it,Fast charging,Good product,Good,So Far So Good,Quality is good 👍 you can go for it ♥️,Excellent Product,Yup good in all over"
332,"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions",46999.0,69999.0,33.0,4.3,21252.0,"It's super,Value of money 💰,Display and build,Good Sound and pictures,Good product 👍,Good and smart tv for reasonable rate,Good for low budget,Good"
333,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,299.0,799.0,63.0,4.3,1902.0,"Works perfect for connecting my Dslr to ipad & tethering. Seems like a durable cable,H,GOOD,USB,Supar,It's good,Very good cable,Okaysih"
334,Electronics|WearableTechnology|SmartWatches,1799.0,19999.0,91.0,4.2,13937.0,"Worth the money,Good smart watch,the screen does not turn on and off on double tap, for that you have to press the button.,User friendly UI,Best Allrounder Budget SmartWatch Under 2K 🔥,This smart watch is awesome,Nice watch in budget,The step count is not that accurate but the call quality and other things are good"
335,Electronics|WearableTechnology|SmartWatches,1998.0,9999.0,80.0,4.3,27696.0,"7-8/10, Decent, good for day to day use,Good choice under budget of Rs2000,Average product.,Budget friendly,Overall it's a good watch,Good product,Best in design, accuracy and looks fancy. A must buy for every person who is watch enthusiast.,Having a great experience"
336,Electronics|WearableTechnology|SmartWatches,1999.0,7990.0,75.0,3.8,17831.0,"Not Polished Enough. (Improving with updates),Best for the budget 👍,Value of money,nice product,Good product,Super value for money,Awesome product,Product itv"
337,Electronics|Mobiles&Accessories|MobileAccessories|Chargers|PowerBanks,2049.0,2199.0,7.0,4.3,178912.0,"Ok product to buy,Better than any other power banks,👍,Nice product,Performance is OK,Very Slim & easy to carry,Decent product,GOAT"
